lat,lon,dist
40.483526,-108.181934,0
40.483847,-108.182061,0.023161408803383923
40.484219,-108.181418,0.06561655363016186
40.507693,-108.114034,3.959936534448632
40.509368,-108.110151,4.194463532922971
40.516243,-108.096975,5.033912597499321
40.516962,-108.094852,5.1559905352098445
40.517235,-108.093278,5.240790373937655
40.517357,-108.085425,5.653359248681389
40.517252,-108.083256,5.767517800066454
40.516931,-108.081889,5.842667767978986
40.514586,-108.075677,6.206976437431705
40.514224,-108.073972,6.299963296128296
40.514075,-108.072182,6.394550276584316
40.514079,-108.062277,6.9148404083937045
40.51385,-108.060797,6.994175803878594
40.513259,-108.059286,7.0834344319228
40.507597,-108.04799,7.794175713922683
40.506901,-108.046258,7.897089917301569
40.504231,-108.038451,8.346807716737121
40.503114,-108.034595,8.563590531640653
40.500134,-108.026248,9.04805433991654
40.499753,-108.024521,9.14253093371706
40.49958,-108.02237,9.256173366960772
40.499821,-108.019901,9.38695723032342
40.500258,-108.018279,9.477366429828448
40.5008,-108.017029,9.552966572080914
40.501833,-108.015319,9.667707167246094
40.503493,-108.013475,9.817841568083178
40.509201,-108.007923,10.308362349324025
40.510792,-108.005996,10.457798364867394
40.511986,-108.004047,10.589281286228918
40.513028,-108.001943,10.721184059552943
40.516047,-107.993812,11.196502400901439
40.516956,-107.991083,11.353001682572767
40.517408,-107.988935,11.470069184564402
40.521255,-107.950984,13.481047607000443
40.524847,-107.933767,14.4187416953099
40.525347,-107.92941,14.650161787429074
40.525344,-107.91928,15.182181255876623
40.525059,-107.91537,15.388473724509907
40.524638,-107.913118,15.51027230307056
40.522301,-107.903728,16.029202623825352
40.522086,-107.902119,16.11500569345958
40.522122,-107.899608,16.246911219935434
40.523284,-107.891957,16.656693441113593
40.523861,-107.890109,16.761620236703145
40.524612,-107.888533,16.859311717926637
40.526765,-107.884605,17.11364680166408
40.529025,-107.881085,17.355631490702834
40.544791,-107.863562,18.781563281833712
40.546016,-107.862035,18.898145926439245
40.546908,-107.860444,19.00195328015681
40.547539,-107.858821,19.097669867515243
40.547995,-107.855715,19.263755692647894
40.547859,-107.853634,19.373414648259143
40.547485,-107.851658,19.480327867947743
40.543847,-107.840862,20.10038728031604
40.543142,-107.837967,20.26000344964937
40.541297,-107.822027,21.106601140380963
40.540744,-107.813191,21.57212286312398
40.540585,-107.81148,21.662631859030114
40.540297,-107.81101,21.69433348092611
40.540465,-107.810905,21.70718395975324
40.540451,-107.809649,21.77314028450061
40.540021,-107.804469,22.04674711075867
40.535876,-107.788411,22.93725126369855
40.534699,-107.784251,23.170345030195893
40.533798,-107.781949,23.30631630129275
40.528681,-107.772402,23.919795569832786
40.527843,-107.770437,24.038124773937717
40.517445,-107.741603,25.714296658616487
40.516443,-107.738264,25.90285012734123
40.514137,-107.720346,26.857421125936984
40.510702,-107.691371,28.397851301139124
40.509941,-107.687891,28.588070493945878
40.508392,-107.68255,28.888362931586467
40.508021,-107.680049,29.022224285655867
40.507703,-107.654285,30.375860004194774
40.508242,-107.651556,30.523980184453663
40.511113,-107.643739,30.980021320314425
40.512508,-107.639003,31.246821201027814
40.513647,-107.632128,31.6164320180048
40.513905,-107.627397,31.865581733000685
40.514156,-107.612201,32.663986482190886
40.51413,-107.578875,34.414534534190416
40.514336,-107.573248,34.71045152570044
40.514397,-107.549933,35.93514432147602
40.51423,-107.547512,36.06283661166494
40.514425,-107.543021,36.299123515539
40.514384,-107.537251,36.60222196093904
40.514166,-107.535031,36.719802579375745
40.511296,-107.526428,37.21330299643239
40.510968,-107.524769,37.30334930207513
40.510818,-107.510371,38.05975468096031
40.511728,-107.495632,38.83654636663794
40.512316,-107.493162,38.972506436251784
40.514125,-107.489578,39.19848297144918
40.514645,-107.488804,39.25273989645141
40.517258,-107.486093,39.48268055075539
40.518168,-107.484497,39.5874696994079
40.520148,-107.475427,40.08311669396723
40.523937,-107.46481,40.69913686724632
40.525055,-107.462757,40.83177498626321
40.525729,-107.461899,40.89657623277419
40.52601,-107.461088,40.94338534357249
40.526367,-107.461099,40.96805845854661
40.52873,-107.459076,41.16285039494146
40.529625,-107.457808,41.25372565218222
40.5336,-107.443622,42.04770761038923
40.533777,-107.442062,42.130535176577816
